EntrezID	ENSGID
1	ENSG00000121410
10	ENSG00000156006
100	ENSG00000196839
1000	ENSG00000170558
10000	ENSG00000117020 ENSG00000275199
100008586	ENSG00000236362
100008587	ENSG00000278233 ENSG00000274917 ENSG00000273730 ENSG00000275215 ENSG00000276700 ENSG00000278189 ENSG00000275757 ENSG00000277739
100009676	ENSG00000256628
10001	ENSG00000133997
10002	ENSG00000278570
10003	ENSG00000077616
100033413	ENSG00000207063
100033414	ENSG00000207001
100033415	ENSG00000207014
100033416	ENSG00000275529
100033417	ENSG00000207191
100033418	ENSG00000207442
100033419	ENSG00000207133
100033420	ENSG00000207093
100033421	ENSG00000206727
100033422	ENSG00000200661
100033423	ENSG00000206609
100033424	ENSG00000207197
100033425	ENSG00000207137
100033426	ENSG00000206621
100033427	ENSG00000207174
100033428	ENSG00000207263
100033429	ENSG00000206656
100033430	ENSG00000206688
100033431	ENSG00000278715
100033432	ENSG00000277785
100033433	ENSG00000275127
100033434	ENSG00000207375
100033435	ENSG00000207279
100033436	ENSG00000252326
100033437	ENSG00000199712
100033438	ENSG00000251815
100033439	ENSG00000251896
100033440	ENSG00000199970
100033441	ENSG00000200680
100033442	ENSG00000200503
100033443	ENSG00000200812
100033444	ENSG00000278089
100033445	ENSG00000200726
100033446	ENSG00000199782
100033447	ENSG00000201943
100033448	ENSG00000200486
100033449	ENSG00000199453
100033450	ENSG00000273835
100033451	ENSG00000199960
100033453	ENSG00000201679
100033454	ENSG00000200757
100033455	ENSG00000201482
100033456	ENSG00000200163
100033458	ENSG00000199968
100033460	ENSG00000201969
100033603	ENSG00000199833
100033799	ENSG00000201326
100033800	ENSG00000201331
100033801	ENSG00000199489
100033802	ENSG00000275524
100033803	ENSG00000199704
100033804	ENSG00000200987
100033805	ENSG00000202188
100033806	ENSG00000200949
100033807	ENSG00000200593
100033808	ENSG00000199311
100033809	ENSG00000201992
100033810	ENSG00000202499
100033811	ENSG00000200638
100033812	ENSG00000201907
100033813	ENSG00000200564
100033814	ENSG00000272460
100033815	ENSG00000200478
100033816	ENSG00000201143
100033817	ENSG00000202373
100033818	ENSG00000202261
100033819	ENSG00000130600
100033820	ENSG00000278123
100033821	ENSG00000207245
100033822	ENSG00000201634
100036563	ENSG00000200398
100036564	ENSG00000201300
100036565	ENSG00000200801
100037417	ENSG00000099974 ENSG00000099977 ENSG00000275003 ENSG00000275758
100038246	ENSG00000236311
10004	ENSG00000168060
100048912	ENSG00000240498
100049587	ENSG00000254415
100049716	ENSG00000177406
10005	ENSG00000101473
10006	ENSG00000136754
10007	ENSG00000113552
100073347	ENSG00000268654
10008	ENSG00000175538
10009	ENSG00000177485
100093630	ENSG00000269893
100093631	ENSG00000233369
100093698	ENSG00000231216
1001	ENSG00000062038
10010	ENSG00000136560
100101115	ENSG00000237563 ENSG00000228890
100101116	ENSG00000129816 ENSG00000129845
100101118	ENSG00000185700 ENSG00000183385
100101120	ENSG00000147761
100101121	ENSG00000237069 ENSG00000239225
100101266	ENSG00000268442
100101267	ENSG00000272391
100101467	ENSG00000186814
100101629	ENSG00000189064
10011	ENSG00000213523
100113379	ENSG00000238886
100113380	ENSG00000239127
100113381	ENSG00000238862
100113382	ENSG00000238531
100113386	ENSG00000280213
100113389	ENSG00000239043
100113392	ENSG00000271852
100113393	ENSG00000222365
100113403	ENSG00000203809
100113404	ENSG00000205636
100113407	ENSG00000205269
100124412	ENSG00000248893
100124534	ENSG00000239183
100124535	ENSG00000207016
100124536	ENSG00000200394
100124537	ENSG00000206937
100124538	ENSG00000207268
100124539	ENSG00000221102
100124540	ENSG00000221459
100124541	ENSG00000221475
100124700	ENSG00000228630
100125288	ENSG00000220201
100125556	ENSG00000171084
100126270	ENSG00000268066
100126296	ENSG00000216031
100126297	ENSG00000215957
100126299	ENSG00000270123 ENSG00000278815
100126301	ENSG00000212013
100126302	ENSG00000216001
100126303	ENSG00000216075
100126304	ENSG00000216064
100126306	ENSG00000216005
100126307	ENSG00000216098
100126308	ENSG00000216179
100126309	ENSG00000216069
100126310	ENSG00000215966
100126311	ENSG00000166920
100126313	ENSG00000266297
100126314	ENSG00000216101
100126315	ENSG00000283159
100126316	ENSG00000215939
100126317	ENSG00000212027
100126318	ENSG00000212102
100126319	ENSG00000211520
100126320	ENSG00000216192
100126321	ENSG00000145016
100126323	ENSG00000283615
100126324	ENSG00000216060
100126325	ENSG00000142408
100126326	ENSG00000065618
100126327	ENSG00000216035
100126328	ENSG00000260778
100126329	ENSG00000283206
100126330	ENSG00000216195
100126331	ENSG00000215930
100126332	ENSG00000185049
100126333	ENSG00000211997
100126334	ENSG00000216135
100126335	ENSG00000212040
100126336	ENSG00000215991
